SMILES,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_thalf,dog_VDss_L_kg,dog_CL_mL_min_kg,dog_fup,monkey_VDss_L_kg,monkey_CL_mL_min_kg,monkey_fup,rat_VDss_L_kg,rat_CL_mL_min_kg,rat_fup,mouse_VDss_L_kg,mouse_CL_mL_min_kg,mouse_fup
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)N[C@H](C#N)CC3CCNC3=O)cc12,,,,,,,,,,,-0.040958608,1.5943925503754266,,,,
CC(C)C(NS(C)(=O)=O)C(=O)N1C[C@H]2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,,,,,,,,,,,0.2304489213782739,1.6324572921847242,,,,
CC(C)C(NC(=O)C(F)(F)F)C(=O)N1C[C@H]2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,,,,,,,,-0.236572006,1.414973347970818,,0.3424226808222063,1.4913616938342726,,,,
C[C@](O)(CN1CC2CCC(C1)N2c1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,,,,,,,,,,,,,0.42160392686983106,1.0413926851582251,
C[C@](O)(CN1CC2CCC(C1)N2c1ccc(C#N)cc1F)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,,,,,,,,,,,,,0.49692964807321494,1.2329961103921538,
C[C@](O)(CN1CC2CCC(C1)N2c1ccc(C#N)cc1)C(=O)Nc1cnc(C#N)c(C(F)(F)F)c1,,,,,,,,,,,,,,0.3074960379132129,1.1205739312058498,
C[C@](O)(CN1CC2CCC(C1)N2c1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(Cl)c1,,,,,,,,,,,,,,0.27184160653649897,0.8506462351830665,
C[C@](O)(CN1CC2CCC(C1)N2c1ccc(C#N)cc1)C(=O)Nc1cnc(C#N)c(Cl)c1,,,,,,,,,,,,,,0.15228834438305647,1.209515014542631,
CC(C)COC(=O)C(C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,,,,,,,,,,,,,,1.5705429398818975,2.721563318357481,
CC(C)OC(=O)C(C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,,,,,,,,,,,,,,1.2253092817258628,2.2711443179490782,
CN1N=C2CCN(C(=O)C(COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,,,,,,,,,,,1.2065560440990295,1.8504624327615167,,,,
CC(C)(N)C(=O)NC(COCc1ccccc1)C(=O)N1CCC2=NN(C3CC3)C(=O)[C@]2(Cc2ccccc2)C1,,,-0.515700161,,0.45939248775923086,1.5435714239623655,-0.359518563,0.37291200297010657,1.5431985856376467,-0.267204302,0.42324587393680785,1.461348433647983,-0.485452247,0.46834733041215726,2.091737282991661,-0.42136079
CC(C)(N)C(=O)NC(COCc1ccccc1)C(=O)N1CCC2=NOC(=O)[C@]2(Cc2ccccc2)C1,,,,,,,,,,,1.3579348470004537,2.228194969963351,,,,
CC(C)(N)C(=O)NC(COCc1ccccc1)C(=O)N1CCC2=NN(C3CC3)C(=O)[C@]2(Cc2ccccn2)C1,,,,,,,,,,,0.5185139398778874,1.6816029987308685,,,,
C[C@@H](N[C@H]1CCN(c2ccc(CC(=O)O)cc2)C1)c1cccc2ccccc12,,,,,,,,,,,-0.228412519,0.22271647114758325,,,,
Cc1ccc(N2CC(CN[C@H](C)c3cccc4ccccc34)Oc3ccccc32)cc1C(=O)O,,,,,,,,,,,0,0.6989700043360189,,,,
