SMILES,monkey_fup
Cc1c([C@@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)C[C@H]3CO2)ccc(F)c1C#N,-0.2218487495439739
CCC1C(=O)N(C)c2cnc(Nc3cc4c(cc3OC)N(C(=O)CN3CCN(S(C)(=O)=O)CC3)CC4)nc2N1C1CCCC1,-1.40011692683512
N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,-2.9999999565705537
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-2.3010299869780915
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,-0.6777807050592738
Cc1ccc(CN2CCC(N3CC[C@@H](c4ccc(O)cc4)[C@H](F)C3)C2=O)cc1,-0.9586073144469618
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,-0.1791420104946966
Cn1cc(C(=O)N2CC3(C2)CN(c2cncc(N4C(=O)c5ccc(Cl)cc5C4(C)C)c2)C3)cn1,-1.4436974980263393
C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)C[C@H]12,-0.0109953842569201
NC(=O)C1C[C@H](F)CN1Cc1ccc(OCc2cccc(F)c2)cc1,-1.3904055897077174
CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-3.752026488274149
CCCC(c1ccc(C(=O)NCCC(=O)O)cc1)[C@H](c1ccc(Cl)cc1)c1c[nH]c2c(F)cc(C)cc12,-5.638253282024103
Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(OC(C)C)C1,-1.4412914282671256
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,-0.2166682370410519
Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,-1.2518119722182737
C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,-0.721246398818595
NC(=O)OC[C@@H]1C(=NC(=O)C(NOCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-0.1191864076620646
NC1=N[C@@]23[C@@H](N1)[C@H](Cn1c(O)ccc1O)N=C(N)N2C[C@H](NC(=O)c1cccc2c1CCCC2)C3(O)O,-0.5686362356801629
CC(O)c1cn(CCNc2nonc2C(=NO)Nc2ccc(F)c(Br)c2)nn1,-1.430626089214349
Cc1nc(=O)c2c([nH]1)c([C@H](C)c1ccc(C(F)(F)F)c(F)c1)nn2CCO,-1.455931954408883
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,4.342945178152237e-11
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,-1.022276394254
CC(C)(N)CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O,-1.2218487488925325
FC(F)(F)c1nccc2cc(Nc3[nH]nc4ncccc34)ccc12,-1.795880014629735
O=C(OC1CC2CC3C[C@@H](C1)N2CC3=O)c1c[nH]c2ccccc12,-0.3010299955771223
CCC1C(=O)N(C)c2cnc(Nc3ccc(-c4noc(CN5CCNCC5)n4)cc3OC)nc2N1C1CCCC1,-1.679853711810982
Cc1nc2c(-c3nc[nH]n3)cc(-c3ccnc(N)c3F)cc2n1-c1ccnc2c(F)ccc(F)c12,-1.175137906383408
O=C(O)c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1,-4.5406060042764365
CC[C@H]1C(C(=O)N[C@]2(C(=O)NS(=O)(=O)C3(C)CC3)C[C@H]2C(F)F)N2C[C@@H]1Oc1nc3cc(OC)ccc3nc1C(F)(F)CCCC[C@@H]1C[C@H]1OC(=O)NC(C(C)(C)C)C2=O,-2.04095860290644
CC1=NC(=O)[C@](CCN(C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12,-0.1833610550352947
CC(C)C[C@](C)(N)COc1ccc(-c2ccnc(C(F)F)c2)nc1C(F)F,-1.2757241295797874
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,-0.1499667422488899
CCC(C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,-1.207608309801271
Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,-4.34678652112688
CCOc1cc(CN2CCC3(CC2)CC(=O)N(c2ccc(C(=O)O)cc2)C3)cc(OCC)c1-c1ccc(F)cc1,-1.2676062393727825
