SMILES,mouse_fup
COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC1(F)CC1,-0.4089353928621432
O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccncc1)CCO2,-3.63827197515876
CCc1nc([C@@H](N)CC(C)C)nc2ccc(-c3cnco3)cc12,-0.9586073144469618
CC(C)CC(N)C(=O)Nc1ccc(-c2cnco2)c(OC(F)F)c1,-1.3872161422210096
Oc1ccccc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,-1.3477536580294285
Cc1[nH]c(C(=O)Nc2nc3c(OC(C)c4ccc(S(C)(=O)=O)cc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-1.488116637684835
Cc1cc2c(Nc3ccccc3F)cc(C(=O)NC3CC3)nc2cn1,-1.2596373097161295
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(C(F)(F)F)ccc3Cl)CC2)cc1F,-2.6989699826212954
C[C@H]1CC(C(=O)O)CCC1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,-1.795880014629735
COc1cc(NC(=O)c2nnn(Cc3ccc(CN4CCOCC4)cc3)c2N)cc(OC)c1,-0.0315170513993665
Cc1[nH]c(C(=O)Nc2nc3c(OCc4ncccn4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-3.3010299088050936
O=c1[nH]c(N2CCC3(CC2)CN(CCO)c2cc(F)cc(F)c23)nc2c1CCCC2,-2.397939997814676
Cc1cc(-c2[nH]c3ccc(C4CCNCC4)cc3c2C(C)C)cc(C)n1,-1.3010299947953925
CC(C)(C)Cc1cnc(CCc2ccc(-c3cccc(F)c3C(=O)O)cc2)n1CC(=O)O,-0.741123370388588
Cc1cn(-c2ccc(C(F)(F)F)nc2)c2ccc(C(=O)NS(=O)(=O)C3CC3)cc12,-1.8538719612196584
O=C1NCc2nc(-c3c(F)cccc3F)cc(Nc3ccc(C(=O)N4CCOCC4)cc3)c21,-2.619788740192791
O=S(=O)(c1ccccc1OCC(F)(F)F)N1CC(c2nc(-c3ccc(F)cc3)no2)C1,-1.9208187503332543
Cc1ccc(NC(=O)c2cc(C(F)(F)F)cnn2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2,-1.7447274924839469
CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cn1,-1.8538719612196584
COc1ccc(/C(=C(\c2ccc(/C=C/C(=O)O)cc2)c2ccc(-c3cn[nH]c3)cc2)C2CCC2)c(Cl)c1,-2.6989699826212954
COC(=O)Nc1nc(C)c(S(=O)(=O)N2CCN(C[C@H](C)Nc3ncnc4c(-c5cn(C)nc5C(F)(F)F)cccc34)CC2)s1,-2.823908711991354
CC(C)C[C@](C)(N)COc1cnc(-c2ccnc(C(F)F)c2)cc1C(F)F,-1.187086642688999
CCCC1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC2(CC1)CC2,-0.387216143174339
C=C[C@]1(C)C[C@@H](OC(=O)COc2cc(CN)c3c(c2)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,-0.9586073144469618
C#C[C@H](CC(N)=O)NC(=O)C1CCCN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,-0.6777807050592738
Cc1cc(-c2ccc(OC[C@@](C)(N)CC(C)C)c(C(F)(F)F)c2)ccn1,-1.7695510760670523
CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,-2.096910007579376
O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1cnccn1)CCO2,-3.6197885773323977
O=C(O)CC(CC1CCCC1)C(=O)N(c1nc(-c2ccccc2-c2ccc(-n3cccn3)nc2)cs1)C1CC1,-2.8538719333007285
COc1ccc(CN2CCC[C@H](OCc3ccc(F)c(F)c3)C2)cc1F,-1.5850266503588186
O=C(O)C1CCC(C(=O)N2CC[C@](c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,-0.978810700516448
Cc1[nH]c(C(=O)Nc2nc3c(OC(CO)c4ccccc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-2.9999999565705537
COc1ccc(C2(C(=O)N3CS(=O)(=O)CC3C(=O)Nc3cccc4[nH]ncc34)CCCC2)cc1,-0.0213630515699065
COc1ccc(-c2cc(=O)c3c(O)cc(OP(=O)(O)O)c(-c4cc(-c5cc(=O)c6c(O)cc(OP(=O)(O)O)cc6o5)ccc4OC)c3o2)cc1,-1.6989700021645464
CS[C@@H](Cn1nnc2cc(C#Cc3ccc(N4C[C@H](O)[C@@H](O)C4)cc3)ccc21)N(O)C=O,-1.0457574900781257
O=C(NCc1cc(F)cc(F)c1)[C@@]1(O)CCN(c2cnc3[nH]cc(Cl)c3c2)C1=O,-1.8239087380490224
