Molecule_Name,Smiles,Mouse_fup,Source
CHEMBL5198935,CCCC1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC2(CC1)CC2.Cl,0.41,CHEMBL 35
CHEMBL5202092,CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1,0.01,CHEMBL 35
CHEMBL4170106,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)COC3=C(F)F)c2)cn1,0.146,CHEMBL 35
CHEMBL4162197,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)CO[C@H]3C(F)F)c2)cn1,0.279,CHEMBL 35
CHEMBL5401090,COc1cc2ccccc2cc1C(=O)NC(=S)Nc1ccc(-c2nccs2)cc1,0.022,CHEMBL 35
CHEMBL5199420,N#CCC(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1,0.479,CHEMBL 35
CHEMBL4754102,COc1cccc2c(N3CCN(c4ccccc4F)CC3)c(C#N)cnc12,0.051,CHEMBL 35
CHEMBL4743437,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1,0.029,CHEMBL 35
CHEMBL4743101,COc1cc(C(=O)N2CCC3(CC2)CC(=O)c2nn(C(C)(C)C)cc2O3)cc(-c2ccc(C(=O)O)cc2)n1,0.17,CHEMBL 35
CHEMBL4464335,C=CC(=O)N1CC(NC(=O)Cn2c(C3CC3)c(C(=O)N3CCc4c(cccc4OC)C3)c3cc(Cl)cc(C)c32)C1,0.02,CHEMBL 35
CHEMBL5422616,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,0.08,CHEMBL 35
CHEMBL5419281,CNc1cc(Nc2cccn(-c3ocnc3C)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12,0.23,CHEMBL 35
CHEMBL5288212,Cc1[nH]c(C(=O)Nc2nc3c(N4CCOCC4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,0.018,CHEMBL 35
CHEMBL5419652,N#Cc1ccc(Nc2nccc(C(=O)Nc3cnccc3-c3ccc(F)cc3)n2)cc1,0.03,CHEMBL 35
CHEMBL4538498,O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccccc4Cl)cn3n2)c1)N1CCC(F)(F)C1,0.036,CHEMBL 35
CHEMBL4280731,[2H]C([2H])([2H])Oc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3cccnc23)nc1,0.12,CHEMBL 35
CHEMBL5202092,CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1,0.01,CHEMBL 35
CHEMBL5205510,C/C=C/c1cnc(C(=O)NC[C@@H](F)CO)cc1Nc1ccccc1F,0.076,CHEMBL 35
CHEMBL5201891,Cc1cc(-c2[nH]c3ccc(C4CCNCC4)cc3c2C(C)C)cc(C)n1,0.05,CHEMBL 35
CHEMBL4759642,O=C(Nc1ccc(Br)cc1C(=O)O)c1ccc(SC(F)(F)F)cc1,0.029,CHEMBL 35
CHEMBL4290933,Cn1cc(-c2ccc(C(F)(F)F)cc2)c2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc21,0.0035,CHEMBL 35
CHEMBL5194637,CS(=O)(=O)Cn1cc(C#CCN(C(=O)Cc2ncc(C(F)(F)F)cc2C(F)(F)F)c2ccc(F)cc2)cn1,0.019,CHEMBL 35
CHEMBL5201368,O=C(NC[C@@H](F)CO)c1cc(Nc2ccccc2F)c2cc(Cl)ccc2n1,0.012,CHEMBL 35
